ax,ay,az
16660,-600,1636
16352,-752,1528
16244,-860,1604
16572,-968,1976
16500,-560,1264
16396,-996,1384
16620,-840,1444
16584,-496,1172
16764,-672,1568
16576,-772,1548
16772,-396,1160
16216,-620,1316
16476,-884,1448
16180,-832,1480
16516,-740,1420
16448,-908,1504
16620,-816,1228
16188,-852,1548
16440,-728,1172
16472,-1272,1916
16464,-932,1636
16412,-848,1516
16952,-472,1420
16676,-816,1256
17000,-860,1892
16444,-812,1008
16556,-1252,1368
16336,-1452,1120
16324,-896,940
16432,-1304,1200
16600,-956,1124
16488,-980,1340
15860,-836,612
16720,-344,460
16676,-904,1232
16344,-872,1156
16292,-1072,1016
16476,-784,820
16544,-920,968
16752,-688,1028
16224,-908,1004
15804,-420,1104
16440,-764,1012
16732,-1008,1088
16592,-1272,960
16388,-792,1144
16384,-560,920
16428,-616,1216
17180,-824,1360
16316,-1132,1356
16880,-840,1676
16232,-544,900
17164,-1016,1328
16996,-52,532
16568,-560,1960
16204,-536,1032
16728,-240,916
16360,-904,1252
16728,-564,1132
15920,-644,724
16596,-408,460
16372,-1040,1008
16644,-776,1844
15932,-888,432
16628,-764,960
16824,-668,1340
16384,-440,912
16216,-1212,672
15568,-868,2152
16868,592,536
17948,-932,1280
16716,-848,312
16200,-1628,1652
15720,-912,380
16220,-2140,2276
16056,-260,-636
16396,-580,1092
17160,-620,1788
16972,-596,1072
16664,-964,1092
16428,-412,884
16204,-824,768
15764,-908,436
16068,-1204,428
16388,-124,200
16348,176,1368
16300,-944,2768
16748,-340,2132
16528,-344,2276
15700,-2736,3768
16312,-540,3388
16316,-376,2488
15184,-1040,2860
15584,-832,2944
16040,-1328,4616
15356,-956,4516
15576,-556,2636
15496,-2232,2820
14012,-2628,3080
15204,-88,4960
15020,3228,2396
14648,-264,4812
16300,536,5132
15692,-268,4812
15524,-276,5904
15924,-696,7072
14672,-116,5704
15452,-280,6476
15468,-1028,6192
16920,1748,4916
15928,-716,5412
15048,292,5920
14640,864,3992
15264,-1900,5952
15784,-644,4412
13992,-2944,3992
13676,-2400,4532
15128,-504,4272
15860,48,4944
15852,-160,5740
16128,-520,5960
15384,-428,4420
16396,104,4040
14916,-796,4112
15056,-2976,4820
15492,-1528,5272
14904,-1752,4780
15564,-1412,5788
15900,-1032,5036
15196,-1888,4460
15940,-1740,4684
15344,-1724,5560
13848,-1432,5372
13824,60,3692
14772,28,5332
17636,2100,3816
12588,-1024,4904
19376,-2384,10700
9932,-1728,8460
16116,3200,6952
15228,1056,8248
14672,-1308,6976
14192,-1896,7200
16504,-284,4764
15132,348,4596
14476,-772,4000
13980,-1772,4668
15620,2016,6852
12476,-1932,5492
16760,428,2744
15332,1032,3432
15440,-764,8820
14732,-708,5300
14944,-612,6248
14896,-864,4896
14628,-1124,8432
13036,-1348,4728
14032,-1876,8260
15088,600,6212
11308,3532,-1436
15572,2888,7444
14608,-1376,6856
14452,-768,7004
14604,-420,6920
14300,-1172,7192
14264,-604,6652
14100,-1068,7180
13856,-964,7032
13472,-880,5732
13948,-1340,6784
14300,-980,6932
14264,-880,7212
14316,-952,6888
14352,-936,7140
14520,-804,7032
14452,-772,6964
14380,-956,6992
14496,-888,7016
14524,-924,7108
14408,-876,6960
14540,-844,6876
14428,-944,7096
14480,-864,7024
14324,-884,7260
14460,-792,7020
14332,-916,7308
14452,-880,6920
14520,-916,7036
14452,-852,7144
14412,-796,6940
14504,-788,6916
14500,-812,7184
14472,-808,7120
14392,-900,7008
14368,-820,7136
14508,-844,7152
14372,-864,7052
14368,-884,7028
14416,-868,6960
14440,-848,7152
14392,-800,6988
14464,-872,6900
14552,-904,7104
14464,-944,7168
14476,-888,7156
14404,-764,6992
14368,-872,7096
14436,-916,7184
14332,-896,7192
14324,-824,7044
14492,-728,6964
14440,-824,7116
14404,-808,7080
14436,-692,7260
14632,-360,7784
14424,-568,7276
14436,-816,7132
14340,-928,6932
14524,-888,7068
14400,-920,6904
14448,-800,7120
14372,-796,6716
14416,-856,7156
14456,-840,6992
14384,-816,7064
14340,-904,7212
14492,-916,7284
14384,-788,7132
14576,-792,7116
14492,-836,7136
14432,-884,7100
14452,-820,6944
14452,-828,7164
14424,-924,7036
14420,-912,7036
14540,-828,7116
14412,-908,7060
14464,-860,6952
14384,-872,7104
14444,-716,6912
14440,-856,6964
14388,-904,7220
14372,-912,7332
14464,-856,7060
14444,-968,7088
14484,-836,7028
14420,-920,7088
14448,-936,7000
14404,-844,7176
14388,-860,7196
14372,-840,6912
14528,-924,7108
14440,-940,7056
14412,-848,7080
14424,-888,6948
14472,-708,7020
14568,-668,7460
14412,-980,7080
14320,-828,7044
14532,-936,7100
14424,-828,7100
14432,-824,6972
14424,-872,7008
14428,-828,6964
14508,-740,7180
14548,-788,7288
14516,-912,7156
14488,-896,7088
14476,-872,6936
14352,-916,7220
14416,-780,7124
14468,-800,7064
14496,-748,7040
14524,-960,7088
14444,-920,7104
14416,-856,7172
14528,-864,6988
14480,-796,6928
14488,-980,7192
14388,-748,7004
14464,-892,7040
14324,-924,7208
14412,-860,7012
14416,-884,6908
14444,-848,7240
14504,-816,6992
14352,-804,7000
14424,-848,7220
14420,-900,7072
14344,-832,7132
14424,-1004,7132
14432,-900,7152
14360,-932,7156
14372,-840,6988
14328,-844,7032
14408,-768,7304
14300,-1160,7052
14404,-788,7000
14600,-680,7364
14712,-696,7036
14284,-748,6952
14480,-1020,7020
14444,-768,7036
14416,-876,7040
14404,-948,6908
14380,-664,7124
14404,-748,7148
14428,-984,7056
14480,-920,7024
14400,-940,7080
14372,-816,7056
14364,-976,7116
14264,-904,7044
14532,-984,6936
14428,-764,7068
14368,-900,7392
14488,-892,6888
14344,-808,7008
14424,-884,7012
14404,-840,7176
14496,-924,7048
14472,-760,7144
14480,-888,7136
14408,-948,7200
14496,-880,7196
14476,-948,7020
14376,-932,7100
14404,-732,7112
14520,-852,6928
14420,-888,7052
14492,-812,6976
14460,-916,7012
14484,-808,6956
14548,-912,6936
14388,-928,7064
14380,-900,7140
14420,-768,7048
14328,-896,7248
14408,-940,6992
14440,-944,7164
14436,-872,7004
14328,-928,7000
14460,-908,7156
14296,-816,6788
14460,-844,7068
14452,-864,7016
14480,-880,7132
14392,-980,7188
14440,-892,7176
14400,-1000,7072
14412,-884,7172
14316,-908,7052
14432,-832,7016
14416,-872,7216
14432,-876,7164
14416,-860,6940
14392,-924,6992
14400,-996,7176
14400,-828,7068
14416,-912,7028
14484,-828,7084
14444,-916,7156
14384,-864,7024
14376,-888,7012
14496,-880,7184
14504,-908,6948
14452,-812,7052
14360,-928,7152
14576,-776,7044
14480,-904,7144
14484,-892,7100
14376,-972,7192
14412,-912,7048
14484,-960,7116
14392,-876,7040
14464,-840,7024
14504,-860,7024
14332,-992,7072
14372,-828,7036
14332,-968,6968
14444,-952,7088
14444,-912,7136
14476,-988,7040
14364,-784,7012
14436,-896,7028
14368,-840,6908
14380,-936,7128
14392,-848,7116
14304,-908,6960
14436,-988,7128
14424,-852,6900
14468,-860,7028
14532,-860,7000
14440,-864,7040
14380,-832,7052
14384,-776,7136
14452,-860,7044
14500,-908,7108
14444,-1032,7080
14508,-812,7016
14440,-824,7068
14460,-812,7168
14440,-888,6976
14372,-1052,7124
14392,-952,6996
14456,-928,6964
14380,-936,7168
14392,-840,7024
14448,-924,7196
14468,-828,6996
14492,-892,7144
14440,-860,7096
14432,-984,6924
14396,-916,7052
14536,-960,6932
14468,-832,7120
14464,-712,7136
14440,-712,6924
14440,-828,7028
14480,-992,7144
14496,-916,7008
14428,-840,7096
14472,-944,7164
14432,-896,7040
14344,-780,7024
14452,-804,6988
14436,-884,7064
14448,-876,7128
14412,-856,7028
14492,-932,7112
14476,-852,7056
14384,-788,7008
14404,-812,7068
14504,-832,7140
14424,-768,6944
14368,-808,7088
14420,-956,6952
14456,-828,7024
14452,-860,7052
14440,-884,7084
14428,-780,7044
14400,-696,6872
14456,-856,7056
14468,-860,7124
14372,-916,7180
14500,-796,7140
14604,-844,7112
14420,-896,6988
14496,-884,7120
14356,-816,7048
14284,-880,6976
14452,-876,7080
14332,-804,6936
14520,-892,7036
14504,-824,6920
14428,-892,7120
14440,-896,6920
14420,-780,7040
14424,-928,7220
14396,-904,6996
14320,-864,6952
14376,-840,7124
14428,-872,6988
14468,-800,7108
14496,-712,7180
14360,-732,7072
14396,-828,7000
14368,-952,7240
14520,-916,7092
14480,-852,6828
14316,-916,7184
14476,-772,7052
14444,-872,7104
14436,-820,7020
14504,-880,7012
14352,-848,7284
14428,-824,7180
14500,-848,7056
14436,-816,6948
14464,-848,6876
14400,-732,7116
14492,-828,6964
14404,-880,7100
14468,-820,7068
14472,-904,7084
14424,-784,6956
14448,-824,7036
14368,-788,7084
14484,-856,7184
14384,-856,7040
14444,-812,7104
14476,-864,7088
14472,-864,7048
14352,-864,7016
14516,-776,6964
14468,-784,7080
14472,-880,7020
14496,-728,7052
14480,-772,7204
14424,-928,7136
14324,-920,7072
14396,-884,7120
14408,-892,7048
14552,-792,7016
14516,-728,7132
14484,-836,7156
14432,-780,7132
14508,-776,7224
14444,-868,7072
14532,-768,6940
14524,-816,7132
14448,-892,7132
14496,-824,7028
14400,-732,7076
14344,-880,7052
14464,-872,7040
14596,-724,7316
14372,-820,7212
14480,-900,7144
14524,-804,7236
14368,-832,7136
14416,-780,6948
14560,-932,6988
14384,-844,6900
