ax,ay,az
13548,596,-2224
12944,3176,-2992
13316,4088,-3516
14564,3672,-1040
15376,1856,-1432
16536,-952,300
15088,-2512,-1764
17324,-6156,300
19524,-3772,100
14760,-8992,-4436
19620,-6668,1636
18092,-7008,-476
21160,-12540,-796
18620,-7768,-3096
15920,-3584,-1276
12272,-3656,-604
12652,-436,-1948
13092,1380,-3028
14996,3292,-1572
12388,3432,-1896
14784,3908,-1232
15752,4980,-1472
16016,3928,-4
16176,304,124
16108,-2888,-112
20680,-3640,1720
17284,-6136,1064
17496,-8060,1444
23500,-5644,3536
18084,-8420,1564
15300,-9964,100
14672,-5996,-4488
15156,-3796,-184
15732,-3040,-216
14700,1216,-1816
12952,2556,-2240
14628,5996,-2576
12996,6004,-4056
15180,2940,-32
15320,1064,560
16868,-1352,-424
17300,-5396,-1804
17648,-5220,264
16380,-5672,-3396
20384,-7252,5888
19428,-9728,924
17128,-6728,232
17860,-5380,2272
16112,-6052,-1072
15004,-3088,-684
13216,820,-952
15052,2232,-1120
14796,3752,-536
13328,4988,-1328
14376,4988,-664
15000,940,1428
17572,2316,476
19200,-2044,1348
19144,-2512,444
16496,-3708,-352
16880,-6504,4180
17156,-7248,1924
19528,-6928,228
16868,-5820,1284
15916,-4304,120
15468,-4516,-496
17460,-2684,496
16140,-848,44
14872,592,-1380
14656,956,-836
12836,2860,-1364
13372,2768,-840
15476,640,788
18388,1112,232
19868,-1604,980
17876,-6748,2248
14800,-9684,3140
18484,-7540,1624
18860,-8812,664
18424,-6252,528
17572,-4008,2020
17256,-2268,-48
15392,-568,-1088
14956,-1172,1072
13720,616,-380
14332,1332,268
14356,1364,-320
15748,1000,332
16476,-896,2064
14280,-4268,-1356
22472,5544,752
18292,-3088,-1620
16492,-5356,1848
18312,-3284,1624
16064,-5580,1180
16744,-4316,1260
16720,-4948,616
16288,-4132,1332
17104,-4772,-788
14368,-6648,-1480
12156,-4728,-2424
16676,-4428,-2320
17804,-6528,-940
14832,-5744,-2600
15032,-3416,-1716
19300,-6096,-1976
14996,-4776,-2816
13972,-3588,-5396
18876,-7076,-2892
12652,-6028,-5320
14128,-3844,-4380
20256,-7232,-1572
16336,-5896,-3164
11280,-3616,-6908
16608,-7340,-4752
14480,-8384,-6784
6900,-5588,-7056
16012,-836,-4832
28232,-2384,7220
17644,-6384,-4924
11380,-7548,-7416
5892,-5300,-11672
9752,-4988,-7104
18616,-6996,1904
20272,-9740,1176
20832,-7280,-1232
16764,-7652,-3032
14696,-4308,-5180
10368,-4204,-5644
8576,-4360,-8868
9460,-4948,-5292
14156,-11776,-3016
21364,-4048,2692
25044,-6876,5096
21516,-1656,3880
17636,-3840,-1676
13788,-5380,-4084
12692,-4528,-5976
9104,-4696,-4664
7372,-3580,-8728
9900,-2592,-4400
13660,-3308,-1896
20604,-3828,704
25100,-1896,6820
19120,-456,2204
22524,-112,4292
22684,-1368,6372
22536,-2252,4696
21812,-2572,3760
21132,-2312,4120
17996,-6088,-1908
12012,-2632,-1932
14472,-5624,-660
12192,-2148,-3836
11340,-3104,-6248
10288,-3668,-5064
9768,-2136,-5084
9412,-3800,-6364
8604,-2196,-7656
10388,-5464,-3588
13120,-4548,-1688
16024,-6248,-2980
24540,2480,-3416
21740,140,1288
21732,848,468
21628,-1280,6524
22768,744,3948
19584,-560,3540
24792,740,6336
20388,1340,5008
18096,-2164,6288
18224,1800,-392
15148,-3116,1656
16396,-1764,-544
14608,-3448,-140
12576,-3288,-1032
10260,-3716,-2804
8928,-2060,-4828
7628,-2184,-5184
7872,-3496,-6936
6244,-5240,-7152
13196,-4112,-1984
12380,-4400,-7480
17492,-5488,-1232
15036,-5680,-3036
14460,-1148,-3596
21188,1628,1928
24712,740,132
26740,664,5216
19256,1500,164
19432,1428,5284
20352,2648,-5364
20648,-1864,5644
18276,-3272,2620
18056,-1676,1936
19332,-2896,2500
18960,-2224,3816
17336,-4644,3808
14788,-104,-1812
13976,-2432,-5344
14916,-3388,-308
13964,-1172,-720
13388,-1004,-1476
13076,-1032,-2852
12644,-2060,-2448
12400,220,-3444
13584,-3096,-1672
15276,-2564,-3512
14952,-3040,-4728
15080,-648,-4820
17272,-2720,-3348
15628,-3360,-4488
18312,-1444,-5884
17036,-4916,-3488
18940,-2752,-4100
16900,-3776,-3696
20316,-4088,868
20136,-3632,-672
17532,-3236,84
17736,-4660,-752
16380,-5216,1096
18272,-6088,-240
18120,-3276,596
18028,-4220,-412
17232,-7368,-224
16148,-2592,-8948
12352,-7880,-2956
17308,-3980,-156
13656,240,-2504
14492,256,-2312
13596,964,-1584
13712,2028,-2400
15852,1008,-3232
14068,1436,-3788
16576,1580,-3240
9828,-8000,-3548
16984,548,-1252
16584,-560,-3512
17956,-1820,-1176
17964,-2180,-3768
16616,-3740,-1292
15252,-8652,-3288
14460,-5628,-4212
15852,-8180,-3124
16720,-6624,-3420
17124,-7440,-1936
16896,-7068,-1528
16868,-5784,-2240
17060,-4308,-2724
17536,-4596,-2720
17372,-3396,-3228
17176,432,-7316
14924,-1864,-1792
15228,1720,-4820
15492,4304,-3980
15368,4424,-3824
17204,3468,-4608
15672,2140,-1304
15656,4692,-3816
16032,3496,-3636
14400,900,-2952
17744,-1136,-3252
15120,-1016,-2372
19548,-3648,512
15748,-6596,-3072
16520,-6512,-2684
14484,-8868,-2148
16492,-7508,-2116
15768,-9020,-1188
15392,-8716,-2800
14932,-9272,-2400
15780,-9204,-3620
14840,-9324,-4060
15424,-8800,-4680
13200,-7092,-6532
14160,-4280,1016
14088,-3280,-5248
16612,-1712,-4152
17384,972,-2188
14744,6748,-6032
15172,3384,-3968
15400,4084,-716
16596,3672,-2996
14148,-732,-4836
15936,1032,-2344
17184,-172,-1752
16284,-1476,-1096
14492,-1328,-3432
17148,-2552,-280
17500,-2724,-2620
15928,-4544,-3056
15360,-6516,-3432
18064,-7948,-2684
