ax,ay,az
14352,68,6836
14416,76,6924
14564,48,6944
14472,88,6900
14604,96,6880
14516,36,7024
14612,72,6960
14420,48,6920
14476,248,6912
14424,88,6976
14548,32,6916
14556,16,6920
14468,100,6964
14508,108,6880
14464,112,6796
14448,152,6972
14664,76,6936
14612,124,7020
14584,-36,6940
14456,96,6900
14424,140,6720
14460,-4,6916
14420,156,6908
14540,176,6984
14424,-16,7016
14604,84,6968
14528,-36,6956
14404,112,6736
14472,-28,7008
14544,52,6848
14484,0,6928
14520,48,7052
14528,92,6892
14484,28,7000
14644,72,7120
14480,60,6792
14508,0,6884
14492,76,6988
14484,0,7200
14520,144,7232
14612,84,6912
14404,36,7020
14472,132,6868
14532,84,6852
14472,112,6856
14544,112,7000
14588,140,7116
14420,104,7024
14568,52,6976
14480,-8,6928
14480,16,7120
14432,88,6760
14444,88,6908
14472,152,6948
14520,92,6860
14508,84,6888
14436,80,6832
14564,64,6948
14564,180,6964
14480,88,6896
14508,200,6820
14516,24,6968
14588,48,6876
14496,144,7040
14588,88,6880
14448,100,7096
14532,156,7116
14556,32,6832
14524,100,7056
14496,0,6936
14588,52,6876
14492,8,7112
14552,108,6948
14532,28,7052
14480,40,6912
14400,-40,6692
14416,12,6772
14336,48,6740
14480,-20,6996
14488,12,6948
14520,20,6916
14520,76,6928
14512,124,7100
14548,184,6924
14440,188,6968
14496,160,6808
14556,112,6868
14420,100,6848
14544,168,6876
14408,8,6956
14492,72,6924
14464,92,7020
14540,92,6928
14548,192,6832
14460,88,7080
14488,12,7080
14552,120,6888
14580,16,6980
14664,88,6904
14576,108,6880
14496,72,6872
14480,-24,6912
14452,112,6900
14352,-56,6992
14384,-8,6868
14496,104,6808
14456,-44,7088
14560,40,6900
14468,156,6972
14540,48,6892
14568,132,7048
14564,220,6948
14504,252,6876
14476,264,6972
14524,212,7000
14596,168,6936
14492,108,6880
14480,44,6804
14524,4,6864
14496,108,6884
14452,76,6924
14468,40,6956
14512,40,6944
14484,12,6864
14520,48,7012
14440,-20,7104
14548,96,6868
14560,-16,6944
14504,96,6904
14536,28,7056
14520,52,7056
14472,8,6736
14572,60,6956
14608,120,6804
14500,92,6888
14580,124,6860
14552,200,6788
14536,140,7064
14512,96,6752
14492,148,6916
14404,68,6940
14500,100,6928
14548,-24,6948
14440,4,6992
14536,100,6924
14464,64,6876
14496,32,7044
14432,76,6996
14468,120,6868
14524,84,7144
14500,12,6948
14500,84,6940
14560,88,6976
14520,16,6928
14436,-16,6860
14580,40,6856
14476,52,7020
14500,140,6856
14540,116,6940
14488,20,7096
14576,76,6948
14536,40,6880
14484,176,6948
14516,148,6976
14456,104,6824
14488,280,6976
14472,28,6972
14440,84,6816
14540,104,6784
14532,-8,6932
14528,80,6876
14512,68,6992
14468,112,6904
14452,-8,7028
14528,-44,6916
14532,36,7016
14468,88,7072
14464,108,6936
14496,32,6900
14504,20,6944
14448,204,6936
14480,60,6780
14532,60,6912
14528,104,6912
14612,44,6936
14520,168,6876
14468,76,6860
14480,184,6968
14532,44,6936
14560,100,6956
14496,40,6964
14484,60,6980
14592,32,6896
14536,52,7084
14488,100,6960
14576,88,7008
14568,144,6980
14580,88,7116
14528,0,7004
14496,76,6880
14508,176,7048
14512,168,6968
14540,240,7020
14472,120,6956
14528,136,6972
14468,52,7008
14544,76,6956
14476,64,7068
14524,176,6968
14508,120,7056
14500,164,6900
14476,120,6760
14524,188,6892
14456,48,6888
14480,0,7052
14420,-52,6956
14436,-32,6852
14436,8,6856
14528,-68,7004
14448,60,6944
14496,112,6972
14564,16,6880
14400,84,6908
14472,36,6940
14512,52,6904
14464,180,6936
14472,212,7060
14596,52,6896
14504,140,6996
14452,124,6968
14476,72,7104
14584,28,6860
14504,132,6984
14588,228,7100
14528,104,6808
14624,156,6884
14604,68,7056
14516,128,6884
14520,172,7008
14436,156,7056
14424,200,6956
14568,96,6880
14508,392,6764
14476,232,6700
14488,24,6884
14524,108,6948
14540,44,7032
14552,64,7012
14456,-184,6800
14460,-8,6908
14416,-56,6976
14448,76,6940
14372,172,6868
14400,96,6944
14508,68,6764
14408,52,7004
14552,112,6844
14420,124,7000
14568,-16,6756
14468,236,7128
14436,248,7336
14440,144,6900
14448,24,6944
14252,-96,6904
14292,-12,7048
14652,224,6944
14500,8,7032
14592,-88,7052
14564,108,6912
14600,232,7032
14524,92,6956
14428,116,6780
14464,152,6896
14520,32,7092
14440,96,6880
14516,-16,7008
14484,12,6880
14420,-4,6956
14484,4,6844
14424,192,6928
14508,20,6872
14476,76,6940
14476,-56,7164
14444,44,6836
14500,96,6940
14480,76,6856
14568,200,6848
14636,140,6904
14444,112,7076
14540,168,7044
14456,204,6988
14520,72,6920
14468,104,7100
14544,176,6820
14484,120,6832
14460,0,6992
14556,60,6932
14536,160,7000
14540,128,6928
14444,128,6916
14452,-44,6972
14576,104,6836
14468,16,6964
14540,8,6992
14404,-44,6916
14460,-20,6892
14544,84,6960
14524,64,6900
14496,0,6948
14524,88,7184
14456,-4,6900
14472,76,6936
14516,144,7048
14480,56,6812
14440,120,6936
14532,168,6944
14524,104,6884
14504,268,6960
14432,96,6880
14564,120,6840
14584,76,7048
14464,56,7076
14540,108,6928
14564,104,6820
14496,36,6896
14500,36,7024
14456,-16,6944
14428,84,6920
14476,24,6724
14528,36,7140
14536,-88,6900
14568,8,6892
14476,0,6928
14576,-68,7028
14608,36,6836
14588,192,6892
14536,72,6804
14572,80,7068
14596,240,6888
14532,76,7012
14608,140,6832
14596,168,6960
14524,128,6988
14408,92,6952
14576,144,7024
14464,80,6904
14456,140,6884
14580,40,6980
14564,164,6920
14576,108,6868
14436,52,6920
14564,-24,6980
14492,24,7044
14484,140,6944
14484,28,6912
14504,12,7032
14508,72,6920
14464,-4,6992
14532,52,6972
14476,28,6960
14584,104,6964
14544,176,7028
14480,92,7084
14520,120,6864
14484,52,6876
14580,160,6888
14480,132,6964
14456,184,6960
14608,84,7004
14500,88,6724
14512,64,6852
14500,-76,7096
14528,92,6956
14436,76,6808
14408,116,7064
14488,-100,6884
14456,56,7108
14484,56,6852
14520,136,6992
14504,152,6924
14472,72,6988
14412,108,6884
14408,36,6956
14544,200,6976
14468,132,6884
14472,104,6816
14532,196,6832
14480,72,6996
14480,124,7040
14556,160,6900
14552,96,6948
14556,56,6864
14480,112,6868
14488,132,6900
14548,96,6900
14524,12,6808
14520,152,7040
14460,176,6984
14520,68,7000
14572,84,6836
14556,36,7004
14536,108,6856
14516,84,7068
14552,4,7040
14520,100,6892
14536,28,6908
14468,32,7024
14528,112,6804
14484,-28,6860
14476,-20,7036
14492,76,7028
14596,108,6932
14520,92,6976
14472,24,6952
14528,132,6916
14560,120,6872
14496,172,6948
14360,200,6800
14480,240,6852
14564,188,6880
14536,108,6888
14572,104,6924
14588,84,7032
14516,40,6944
14420,132,6904
14520,112,6908
14532,68,6968
14524,64,7028
14572,28,6948
14532,-8,7084
14456,60,7152
14556,4,6916
14424,12,7056
14460,20,6912
14468,60,6976
14440,36,6952
14464,108,6928
