ax,ay,az
16872,-944,760
16796,-1008,592
16576,-708,804
16680,-808,856
16112,-668,524
16236,-548,440
16472,-804,128
16276,-664,648
16424,-340,392
16540,-816,732
17116,-1052,1140
17084,-1364,392
16708,-1284,32
16488,-752,404
16264,-320,612
16280,-484,1388
16448,-688,656
16624,-1164,440
16700,-1160,1124
16516,-1408,184
16948,-1304,472
16644,-740,664
16696,-408,988
16456,-276,1032
16540,-296,740
16648,-496,1236
16568,-496,260
16312,-784,496
16836,-1024,364
17128,-1316,796
16880,-1020,676
16472,-728,780
16228,-496,112
16136,-564,644
16796,-404,264
16548,-528,576
16988,-700,1316
16564,-488,584
16456,-952,668
16480,-744,584
16764,-1208,136
16248,-884,412
16264,-696,608
16852,-988,1000
16468,-788,636
16564,-876,300
16544,-780,128
16944,-1080,792
16988,-644,948
16816,-720,800
16460,-940,880
16476,-1112,268
16468,-476,96
15872,-344,892
16348,-472,564
16980,-256,620
16952,-484,1000
16844,-1016,1568
16796,-824,1020
16820,-804,756
16808,-1124,660
16760,-1148,652
16556,-544,1124
16436,-52,1280
16444,-408,700
16528,-820,564
16584,-612,336
16536,-780,316
16912,-696,740
16740,-624,1152
17072,-860,916
16668,-676,688
16528,-384,816
16624,-348,1224
17784,-36,1368
17352,4,588
16596,-436,280
16468,-496,704
16304,-248,-68
16296,-168,464
16316,-672,620
16968,-972,568
16784,-1060,24
16084,-824,-172
16052,-532,272
16312,-324,712
17080,-384,1192
17016,-1012,1548
16820,-1036,952
16092,-916,124
16132,-656,-184
16724,-552,1124
16984,-436,988
17044,-832,988
17156,-940,956
16548,-440,208
15876,-504,24
15868,-168,636
16500,-704,1068
17040,-912,1576
16756,-916,236
16804,-1148,268
16484,-720,1272
16828,-492,844
16708,-728,748
16608,-956,684
16556,-868,612
16568,-656,956
16532,-704,388
16480,-560,436
16648,-460,412
16480,-196,608
16616,-164,872
16556,-872,592
16120,-376,252
16488,-600,456
16564,-480,768
16928,-888,448
16728,-312,312
16816,-544,316
17396,-564,1232
16916,-628,1472
16304,-1260,988
15980,-1036,544
16068,-1088,360
16016,-1004,168
16268,-1512,648
17008,-1236,1184
16720,-928,1140
16392,-1032,-164
16744,-924,-320
17288,-196,1324
17336,392,1936
16652,-356,2764
16276,-1116,1196
16296,-1512,-264
16260,-1160,332
16000,-828,404
16108,-1044,1160
16792,-948,1648
16652,-1000,1292
16068,-660,524
15924,-152,-1068
16804,-216,64
16920,108,1888
17392,-324,2504
17496,-700,724
16896,-1204,284
17336,-1408,140
16764,-1556,-36
16012,-420,1108
15704,348,660
15860,260,140
16376,-280,980
16800,-232,296
16892,-1064,612
17216,-904,1072
17472,-1132,380
16920,-752,644
16204,-624,84
16304,-540,756
15472,-168,528
16344,-568,948
16816,-592,448
16584,-680,380
16496,-368,816
16540,-900,712
16840,-604,1148
16984,-348,608
16612,268,1012
16192,-52,1320
16588,-708,1360
16776,-1268,156
16264,-908,1428
16608,-732,1160
16804,-1604,-248
16616,-1384,392
16284,-116,1192
16628,-248,1756
16996,-380,1540
17148,-336,2172
16444,-320,1512
16224,-440,1092
16652,-660,1476
17004,-528,968
16980,-608,1884
16396,-224,444
15944,-456,152
16700,124,784
16584,132,2240
17324,-484,1856
16880,-576,1548
15908,-660,1772
16536,-476,1220
16700,-1004,1180
16564,-812,964
16800,-828,416
16420,-412,48
16948,-820,1280
16692,-436,896
16092,-576,768
16172,-432,568
16164,-164,1364
16320,-104,804
16304,-288,1220
16924,-436,660
16920,-660,552
16836,-136,760
16916,12,1816
16532,-72,1172
16740,-480,1732
16616,-712,1444
16768,-472,536
16420,-340,1268
16224,-580,2168
16740,-504,828
16316,-76,528
16716,620,2008
16688,-228,2000
17364,-532,1348
16952,-980,820
16372,-792,992
15992,-260,1128
15976,-40,936
16500,-124,1812
16128,-320,2252
16484,-252,2080
16888,-652,1532
17268,-1048,860
17148,-820,984
16744,-772,1328
16304,-600,1292
16164,-480,400
15788,-180,684
15896,-368,860
16468,-596,1068
16624,-788,1268
16676,-816,448
16636,-660,1356
16560,-380,1800
16756,-892,1464
16460,-780,752
16384,-880,892
16392,-1040,1352
16000,-520,384
16132,-676,500
16080,-596,1152
16596,-736,1104
17200,-764,972
16688,-1392,888
16608,-1264,1260
16368,-1256,1392
16360,-816,908
16140,-700,960
16016,-176,1396
16352,-408,1596
17052,-728,1424
17132,-1036,1484
17044,-1000,1804
16748,-968,900
16556,-752,1112
16416,-384,1584
16632,-280,1228
16220,-112,1364
16560,-156,860
16784,-56,1516
16312,-64,1320
16104,76,1476
16500,-72,1936
16224,-620,1508
16684,-856,1200
16272,-772,1272
16508,-920,800
16824,-808,840
16760,-688,1832
16476,-180,1592
16348,-268,1248
16520,-44,1236
16564,-312,1300
16804,-616,1328
16368,-560,804
16904,-424,1596
16824,-212,1860
16520,-412,984
16248,-452,904
16180,-312,2068
16444,-212,908
16388,-544,1192
16200,-328,924
16552,-776,1020
16536,-1128,1260
16764,-976,1368
16592,-776,500
16352,-316,1380
16184,284,1768
16788,-276,840
16768,-1012,68
16872,-984,836
16272,-836,772
16320,152,464
16592,180,608
16660,-44,860
16708,-348,1584
16468,-84,1096
16708,-240,672
16364,-256,844
16408,-196,648
16264,340,720
15944,232,1692
17116,-164,1208
16868,-700,1560
16792,72,756
15948,724,552
17124,756,2024
16552,-280,1072
17880,-988,1232
17000,-1120,940
15912,-556,912
15624,164,496
16028,-288,772
16556,-56,1048
16536,-284,1220
16656,-208,720
16612,-188,1720
16652,-316,1048
16512,-560,752
16440,-568,548
16328,-548,904
16444,-308,1092
16424,-332,856
16488,-556,768
16828,-508,888
16740,-596,2020
16964,-504,1708
16692,-788,1080
16512,-912,956
16300,-220,448
16232,-320,1240
16216,76,1124
16764,-328,1516
16720,-344,1232
16520,-184,1132
16392,-304,1168
16572,-340,504
16840,-568,1248
16928,-344,1160
16808,-436,1812
16612,-396,1324
16332,-408,784
16324,-620,1192
16484,-912,1140
16752,-868,1172
16476,-980,1460
16736,-640,1148
16588,-444,724
16560,132,160
16336,-208,956
16744,-616,1684
16692,-716,1132
16604,-768,1320
16920,-800,1224
16812,-1120,540
16284,-1200,560
16204,-1036,556
16444,-1008,1964
16644,-1168,1692
16884,-1140,1156
16364,-1136,940
16204,-1068,768
16288,-1084,824
16616,-1200,1004
16992,-1340,1380
16588,-1124,1408
16532,-852,1088
16716,-740,1400
16064,-704,1124
16184,-1268,1748
16436,-1364,900
16492,-1500,712
16576,-1564,792
16372,-1452,484
15912,-800,1088
15912,-596,1592
15912,-792,780
16700,-908,968
17236,-1296,1700
17212,-980,1484
16780,-708,1416
16456,-592,1648
16132,-572,1076
15944,-304,248
16588,-864,1444
17004,-668,1904
17224,-576,1656
17468,-732,2284
17216,-344,920
16356,-584,732
15380,-168,940
15540,-112,1040
15972,-544,784
16540,-1084,52
16648,-1172,956
16780,-1016,1600
16840,-1328,1320
16700,-1224,816
16428,-768,1632
16568,-824,1452
16592,-972,1780
16504,-1100,1188
16352,-944,932
16172,-856,1484
16608,-984,896
16760,-1060,1808
16648,-904,1524
16336,-816,1364
16452,-672,1476
16968,-592,780
16564,-1136,1268
16372,-992,2292
16572,-296,1928
16232,-556,1892
16548,-576,1660
16472,-652,1540
16480,-816,1340
16696,-620,1588
16644,-1068,1588
16496,-1296,1180
16272,-1164,840
15956,-932,1616
16240,-712,1664
16444,-624,1872
16668,-860,1592
16520,-1060,1716
16700,-1508,1076
16260,-1104,1152
16468,-1000,1716
16760,-888,1872
16480,-556,1496
16452,-684,1344
16492,-664,1248
16440,-716,1204
16400,-804,1356
16580,-748,1672
16576,-832,1568
16392,-848,1552
16560,-692,1560
16392,-896,1412
16440,-1052,936
16236,-804,1464
16664,-888,1604
16948,-1020,1704
16644,-1100,1540
16056,-720,904
16044,-656,1216
16160,-868,1204
16556,-1104,1684
16632,-956,1560
16548,-812,1500
16632,-724,1492
16600,-888,1616
16452,-996,1716
16112,-820,1336
16480,-960,1324
16752,-1056,1644
16700,-992,1248
16604,-1196,1676
16236,-944,1692
16180,-648,1416
16168,-872,1320
16276,-816,1632
16560,-872,1484
16676,-1220,1604
16704,-1136,1292
16668,-992,1440
16524,-928,1544
16592,-936,1696
16196,-904,1420
16228,-960,1424
